"【#甘肃新增11例境外输入确诊病例#】3月4日20时至3月5日20时，甘肃本地无新增病例。截止3月5日20时，甘肃本地累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院87例，累计死亡病例2例。现有2例在定点医院进行隔离治疗，其中兰州市1例、定西市1例。甘肃本地目前无疑似病例。目前，甘肃本地累计追踪到密切接触者4337人，已解除医学观察4259人，其余78人正在接受医学观察。
3月2日20时至3月5日20时，有311人分别乘商业包机由伊朗到达兰州，均已全部隔离。3月5日新增11例境外输入确诊病例，均在省级定点医院隔离治疗，病情平稳。新增境外输入密切接触者300人，其中38人在省级定点医院隔离留观，262人在集中隔离点隔离，正在进一步进行医学检测检查。（央视）",2020/3/5 23:13,"评论
2026",怎么新增这么多,顶住甘肃,请大家重视！,甘肃人民都惊呆了。。。,没关系不要害怕，这批人是包机回来直接就在兰州的一个新区集中隔离了，新区离市区挺远的，没有传播病毒。华侨们都是为了回国得到更好的治疗，可以理解。点对点转移肯定是比单独跑回来好得多,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,甘肃马上就要交卷了，结果一翻卷子，怎么还有附加题！！！！,周总理诞辰不值得一条微博吗,问问自己，还有良心吗？还记得新中国的首位总理吗,我求求你发一条周总理的微博吧,周总理诞辰啊！,问你为什么不发周总理你还删评？真觉得自己是个东西了？,建议直接改名资本日报,快零点了您也千万坚持住不要发周总理的诞辰不然下次不好用数典忘祖来骂你,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,他们是看中中国的医疗制度才回来的吗？耐人寻味,,
,,,,,,,,,,,,,,,,,,,,,,
【#2020年第一个超级月亮#：3月10日登场，中国各地均可看到】据广州市五羊天象馆，3月10日，将出现今年第一个超级月亮。如果天色晴朗，中国各地乃至整个北半球都可观赏到。各地最佳观察超级月亮时间是3月10日凌晨及晚上。此外，专家称，4月8日中国各地公众还可再赏一次超级月亮，8日的超级月亮更明亮。网页链接,2020/3/5 22:29,"评论
2515",哇好期待啊,哇，好运连连！！！,等超级月亮的出现，许愿望,望远镜就位了！,不知道天好不好 能不能看到,只要不下雨！,,哇，期待,又有正经的理由熬夜了,好漂亮！期待！,为中华之崛起而读书。——周恩来,今天是周总理的诞辰以及雷锋的纪念日。,坚决反对#外国人永久居留管理条例# ！！！,为中华之崛起而读书。——周恩来,联姻是假，条例是真，继续反对条例，别被他们转移视线#外国人永久居留管理条例#,中华民族到了最危险的时候，每个人都被迫的发出最后的吼声，起来，起来，起来！,评论周总理诞辰的我都赞了一遍，希望更多人看到我们伟大的周总理。,今天可是周总理的纪念日呀，真的可以就这么忽略过去吗？良心不会觉得不安稳嘛？,,
,,,,,,,,,,,,,,,,,,,,,,
【夜读：人生最难得的三个字】人生不可能永远是坦途，复杂让人烦恼忧愁，浮躁让人不堪一击，邋遢让人表里不一。学会做一个简单的人，是每个人一生的必修课；遇事一味烦躁惊慌无济于事，唯有静下心来，方能寻觅到解决之道；而干净，则是一种生活态度。人生做到简、静、净，而后幸福、立身、家和。 【夜读】人生最难得的三个字,2020/3/5 22:03,"评论
1371",晚安，会好的,平静 平安 与人为善,加油，,简，是幸福的真谛；静，是立身的根本；净，是家庭的福气。人生做到简、静、净，而后幸福、立身、家和，如此，足矣。,晚安,,晚安。一切都会好起来的,人生需要体会！,晚安,沉下心 别浮躁,周总理诞辰也不发微博,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,周总理，我们想您了,周总理生日只剩不到两个小时了最后提醒你一次,#纪念周恩来总理诞辰122周年# ×坚决反对#外国人永久居留管理条例#,为中华之崛起而读书。——周恩来,周总理诞辰怎么没微博？,人民日报最终还是没发博，周总理诞辰,别忘了数典忘祖的台湾，不仅一直歧视性的称呼“武汉肺炎”，还禁止口罩出口给大陆。疫情过后，必须要解决台湾问题！必须要收拾岛上那群贱畜。,
,,,,,,,,,,,,,,,,,,,,,,
#寻找抗疫平民英雄#【#8张小区里抓拍的照片让人心疼#】疫情防控工作正紧张进行，城市和乡村的各个角落筑起了层层防线。在这些人中，有一个群体不辞辛苦、不计报酬，他们就是“志愿者”。近日，在湖北十堰市一小区拍到的多张志愿者照片↓↓感谢他们默默为我们遮风挡雨，他们很平凡，也很伟大。辛苦了！十堰一小区真实拍下！这个姿势，你打几分？,2020/3/5 20:28,"评论
1890",一线工作者都是伟大的,向你们致敬,致敬平凡的英雄们,侠之大者，平凡如你。医生、护士、警察、教师、工人、社区干部、快递小哥、环卫工人…济人困厄，为国为民，侠之大者，平凡如你我。,辛苦了加油,加油，真的辛苦了！,致敬最美逆行者们！ 中国加油 给你们点赞,真的辛苦了,好人一生平安,辛苦了,你们辛苦了！,加油加油加油,辛苦啦，幕后英雄,坚决反对永久居留条例，央视体育频道全屏幕10年前就变成了英文，是专门给洋人看的？还有央视纪录片和百战经典把汉尼拔 恺撒 亚历山大捧上天，却批秦皇汉武唐宗宋祖，恺撒和亚历山大杀人无数恶贯满盈却从头吹到脚，而为中华民族做岀巨大贡献的千古一帝们却揪着错误不放，批他们好战、杀兄屠弟。,今天是周总理的诞辰以及雷锋的纪念日。,周总理，别装死@人民日报,#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,今天是周总理诞辰，@人民日报,今天是周总理诞辰和学雷锋纪念日，人民日报你眼瞎了吗？
,,,,,,,,,,,,,,,,,,,,,,
"#寻找抗疫平民英雄#【#云南36岁民警牺牲抗疫一线#】3月4日17时，云南省文山州广南县公安局莲峰派出所筹备组副组长谢帅业（男，36岁，中共党员）在疫情防控工作中，因身体不适被送往广南县人民医院，经抢救无效因公殉职，将自己的生命永远定格在36岁。
2020年3月3日，谢帅业处置一起寻衅滋事警情至4日凌晨4点多，中途只休息了3个小时的他在上午7点又继续投入工作中，下午17时，已经连续工作30多天的谢帅业，因身体不适被送往广南县人民医院抢救无效因公殉职。（人民日报记者杨文明） 人民日报的微博视频",2020/3/5 19:08,"评论
3708",真的不想再看到这样的事情发生了 给基础工作人员减减压吧,一路走好,连续工作30多天,希望不要再有这样的消息,一路走好,一路走好,一路走好,一路走好,今天是周总理的诞辰以及雷锋的纪念日。(不要沉底),今天是周总理的诞辰以及雷锋纪念日啊！怎么没有报道？,#纪念周恩来总理诞辰122周年# ×坚决反对#外国人永久居留管理条例#,谁的儿子在前线，谁的儿子在数钱@人民日报 前方舍身抗疫，后方变卖国家资产，引狼入室。,狱警也有人因公殉职，却从不见主流媒体报道,无内鬼GKD,致敬,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【对疫情的警惕性不能降低！#防控关键期9个自我防护提醒#】全国复工复产的关键时候，防控依然不可放松！避免功亏一篑，请再忍一忍，勤洗手、戴口罩、不扎堆、不聚集，牢记#公共场合自我防护要点#↓↓转发提醒！,2020/3/5 18:49,"评论
1169",我有乖乖戴口罩,防控依然不可放松！避免功亏一篑，请再忍一忍，勤洗手、戴口罩、不扎堆、不聚集,除了工作和生活必须的出行，其他的忍一忍,出门还是要戴口罩噢，大家再坚持一下～很快会过去的！,有乖乖戴口罩 没有聚集,明白,关键时刻，不懈怠，不放松,好的好的好的,要好好听话，能不出门就不出门,再忍会儿再忍会儿ball ball了别着急出去,做一名准守纪律的好公民，危险就离我们远一点。,缅怀周总理，我们不能忘本！,今天是周总理的诞辰以及雷锋的纪念日。(不要沉底),今天是周总理诞辰122周年，致敬，缅怀！这么伟大的总理配不上您一条微博？,你到底记不记得周总理啊,缅怀周总理,周恩来总理诞辰，雷锋精神。。。。要我提醒''人民''日报吗？,#周总理诞辰122周年#,,
