【#你好，明天#】“衣服血迹实为化妆品和水”“送老师6万元”系谎言，广州警方通报“老师体罚女童导致吐血”部分事实系网络炒作。还原真相，还涉事老师公道，也提醒网络维权者：编造事实，消费网友善良，此风不可长！维权须守道，秩序若失控，人人皆受伤害；造假不可宥，信息若失真，社会互信何来？,2021/5/31 23:15,"评论
3696",还老师一个公道吧,造谣就真的没成本是吧。还有人在说体罚才是重点的。事情发展到这个地步，哪个造成的社会影响更大更恶劣。造谣就真没成本是吗？体罚如果属实要处理，但造谣更要严惩。,家长造谣也要付出代价吧,善良被骗,事件反转后，某些“正义”的网友们觉得面子拉不下了，得紧紧抓住体罚这根救命稻草来彰显自己的正确性，闭口不提家长的造谣死不悔改。不久他们又将紧张地投入下一场战斗，其实他们根本不在意施害人的行为是否真实，只是单纯地在享受站在道德制高点上对落入水沟的流浪狗尽情扔石头的快感。,好人被当枪使,消费大家的善良,昨天很多人提出质疑，却被问候全家，我不知道这是在声张正义还是想要发泄暴力啊,严惩造谣者,小姑娘也很可怜 还被母亲利用,网络上通常都是谣言洗脑包到处传，可是辟谣澄清却没几个人看。所以这方面能管制一下吗唉～,造谣就要付出代价,造谣犯法不？老师大名挂热搜一，被网暴有人管不,疯了太疯了老师不应该要尊重吗这个世界怎么了,太过分了！！！消费大家的同情心！必须严惩,19年12月中学校已经对老师做出处罚，为什么半年后的这几天，这位家长造谣老师转发上百万，老师被网暴,体罚已经处理过老师了，被网爆的老师谁给公道？,我觉得老师这个行业被误会挺深的（别杠，杠就是你对）,支持严惩他的请点赞,体罚是真的，老师也接受了处罚。而家长造谣必须接受惩罚，不能就这么过去了。教师职业现在变得战战兢兢，承受多少委屈，不要让教师变得心寒！
,,,,,,,,,,,,,,,,,,,,,,
【#驻港部队搏击训练提升制敌能力#】近日，@驻香港部队 某旅组织一场搏击骨干集训，力量练习、五公里长跑…充满血性的高强度训练课目，提升了官兵处突应变、快速制敌能力。网友：满屏阳光血性，热血沸腾！驻香港部队的微博视频,2021/5/31 22:46,"评论
888",忠诚，勇猛，自信，超越！,所以什么时候收拾那些黄尸蟑螂？,曱甴看了直哆嗦,热血沸腾的你们保卫人民安全,废青看了直哆嗦,中国军人中国力量！,听d指挥！能打胜仗！,中国军人永远是最坚实的依靠,燃！满满的安全感！,可惜无用武之地,热血沸腾！！！谢谢你们的保卫！,酷，热血沸腾！！！！,看的让人热血沸腾！,帅一定赢,废青蹦跶不了几天了,安全感爆棚,练为战,太帅了,,
,,,,,,,,,,,,,,,,,,,,,,
【#几十年前的香烟广告有多野#】如果把时间的指针拨回几十年，你一定会被当时的烟草广告所惊到。一段视频告诉你↓↓如今的烟盒上写着“吸烟有害健康”，从来都不是一句废话。（人民号：EyeOpener） 人民日报的微博视频,2021/5/31 21:21,"评论
680",不吸烟的给我点个赞看看人数。,好讨厌烟味www,这几年的互联网金融的广告有多野？有人竟然打着一带一路的旗号，打着大大的旗号！,“吸烟有害健康”，吸烟的看了照吸。,禁止卖烟！ 禁止-诈-骗750亿，请求立案严厉惩治罪恶滔天的犯罪团伙，为百姓追赃挽损！,肯定有人评论：吓得我赶紧抽根烟压压惊。,突如其来的金融灾难网-信-诈-骗750亿，让社会中坚力量的我们一夜从小康返赤贫！国资洗钱流向海外神不知鬼不觉……百般使计阻挠立案，欲搭清退方舟中饱私囊，罪恶资本欲壑难填，17万个家庭噩梦困扰，各地受害群众百爪挠心！请求立案严厉惩治罪恶滔天的犯罪团伙，为百姓追赃挽损！,突如其来的金融灾难网-信-诈-骗750亿，让社会中坚力量的我们一夜从小康返赤贫！国资洗钱流向海外神不知鬼不觉……百般使计阻挠立案，欲搭清退方舟中饱私囊，罪恶资本欲壑难填，17万个家庭噩梦困扰，各地受害群众百爪挠心！请求立案严厉惩治罪恶滔天的犯罪团伙，为百姓追赃挽损！,你不吸我不吸，谁来研发战斗机？你不抽我不抽，航空母舰谁来修？,这个新闻可以和之前的烟草税放在一起看，那就很好了。左手宣传，右手提价。横批:无动于衷。,控烟从来都是一句笑话！,说实话泰国的香烟外包装真的……看完了不敢再抽烟了吧……,禁烟从未停止。,吸烟有害健康,吸烟有害健康，特别是二手烟，公共场合还是要靠自觉,烟草对于国家太重要.所以禁烟不能明面说.暗地里更不能说,跑个题 不得不说 那个年代画师的功底真是深厚啊,,,
,,,,,,,,,,,,,,,,,,,,,,
【长大很辛苦！#我要做一天小孩子#】小时候有一圈朋友，长大后只剩一朋友圈；小时候委屈了就在父母面前哭，长大后在哪儿哭都不能在他们面前哭…#长大后还能做回孩子吗#？童年回不去，但童心可以不泯。世上最高贵的纯真，就是千帆过尽却不忘初心。愿你风雨里像个大人，阳光下永怀赤子之心。@吾皇的白茶,2021/5/31 20:06,"评论
2992",我才18和我都18，是两种状态,只要你的内心里住着一个小朋友，你就永远可以过儿童节。,啊啊啊啊啊茶茶@吾皇的白茶,谁还不是个宝宝,希望祖国的新一代茁壮成长，勤思考，兼听则明 偏信则暗，告诉别人你是葱而不是韭菜，把五年来的暴雷事件当成走进社会的教科书，温故而知新！,不管几岁，开心万岁,张振新是诈死！,小时候快乐是一件很简单的事，长大后简单是一件很快乐的事,长大了才知道做孩子的快乐,当初为了助推P2P发展，工商部门降低门槛，滥发证照，扩大营业范围，而且每年年检，收费多多，就沒有发现非法集资的犯罪问题？全国上万家P2P公司，按章纳税，每年上交国家多少营业税、所得税？现在P2P非法集资了，应不应该退出来还给出借人？@中国政府网 @中国之声 @财新网 @凤凰网财经 @人民网[/cp],明天我们都是宝宝,u1s1有一说一，srds虽然但是，bdjw不懂就问，nbcs拿不出手…我的输入法解密,谁还不是刚过期的宝宝哈哈,少年真是出息了，上人民日报了,#先…锋…集…团…网…信…理…财…诈…骗…750亿#,明天是我的节日，大家61快乐,长大以后，我只能奔跑。明天你好，含着泪微笑。加油！！！,我是来收图的,,
,,,,,,,,,,,,,,,,,,,,,,
【转存#6月天象时间表#！#6月将迎来金边日食#，你想和谁一起看？】据新华社，天文专家介绍6月将接连上演多个天象：①6月6日凌晨出现半影月食，我国可见全过程；②6月12日火星和海王星上演“星星相吸”；③6月16日天琴座流星雨；④6月21日，迎来2020年最重要的天象“金边日食”，我国处于绝佳观测位置。,2021/5/31 19:38,"评论
1546",看了这么久的星象，许了这么久的愿，你还是一个人,6月21日哇，周震南@R1SE-周震南 我们一起看好不好,想和老公@TFBOYS-易烊千玺 一起看,六月又是一个赏月的月份,哇，我等,那个有点迷信又喜爱美景的男孩，他看到一定会很开心,我觉得看星空本来就是一件很浪漫的事,好浪漫啊[好喜歡],小情侣你们许你们的愿，我只管看看天象，顺带祝你们愿望成真，许啥得啥,哇，六月又是一个浪漫的开始，小集美么和老公和男朋友一起坐等哟,都准备好了，就差个对象了,关注一下今年安徽省对口升学考试吗？,哇哦，我蹲,感觉好浪漫啊,@Anne丶仙仙 一起看,哇哇，美，看起来,想和我头像那位一起看,,,
,,,,,,,,,,,,,,,,,,,,,,
【正在直播！爱心汇“剧”，#欢庆六一线上嘉年华#】今晚，@人民日报 和中国儿童艺术剧院邀你一起#云端过六一#！黄渤、黄磊、佟丽娅、陶虹等人将送来儿童节祝福，一起在戏剧奇妙夜、明星送祝福、爱心云传递、世界充满爱等活动中，和小朋友一起度过一个快乐充实的儿童节↓↓戳直播！ 人民日报的微博视频 .,2021/5/31 19:28,"评论
242",祁同伟，别装了就是你,期待丫丫～儿童节快乐,期待佟丽娅,期待丫丫,期待佟丽娅一起过六一,期待佟丽娅,期待@佟丽娅 和姐姐一起过六一,祁厅长，我知道是你！！！！,哇哇哇，丫丫，好期待，你们是不是也在期待丫丫呀,磊叔带菜不？,棒诶,祝小朋友大朋友节日快乐,等疫情慢慢过去，我家那个刚会说话的小朋友也慢慢长大了，一定带上他去儿艺看戏，看大哥哥大姐姐们精彩的演出！,儿童节快乐，我还是个宝宝,丫丫,爱心汇剧 云中送福,我好像回到了童年,双黄合体了！！！淦！！！[冰雪奇缘雪宝],,
,,,,,,,,,,,,,,,,,,,,,,
